"Identity","SourceFile","QueryUrl","PayloadKey","AssignmentId","EntityId","ItemEntityId","FeatureId","FeatureOptions","Variant","Ct","Priority","CtOverride","StartTime","ExpireTime","RequiresNetwork","RotationPeriod","PropertiesHash","MetadataHash","PayloadHash","PayloadPreview"
"FeatureConfig.bak.json|35681102|PAYLOAD_37820325_1","FeatureConfig.bak.json","/settings/v3.0/WaaS/FeatureManagement","PAYLOAD_37820325_1","CX_a16e305bf3bd4052b7a53c7b001ed337","FX:124117A5","FV_35681102_0","35681102","2","0","","","","2022-01-20T22:42:12","2025-01-04T22:42:12","0","3600","44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a","e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855","61307e8da8947a4470ab96927891d93b1e3f4c619a38a8a4783376e29215b93d","{""f"":""raf"",""v"":""1.0"",""rdr"":[{""c"":""CDM"",""u"":""FeatureConfiguration""}],""ad"":{""class"":""content"",""collections"":[],""entityId"":""FX:124117A5"",""itemPropertyManifest"":{},""items"":[{""entityId"":""FV_35681102_0"",""featureId"":35681102,""featureOptions"":2,""properties"":{},""tracking"":{""events"":[{""id"":""impression""},{""id"":""conversion""},{""id"":""opportunity""}],""parameterized"":[]},""triggers"":[],""variant"":0}],""properties"":{},""propertyManifest"":{},""tracking"":{""events"":[{""id"":""impression""}],""parameterized"":[]},""triggers"":[]}..."
"FeatureConfig.bak.json|47557358|PAYLOAD_50653031_1","FeatureConfig.bak.json","/settings/v3.0/WaaS/FeatureManagement","PAYLOAD_50653031_1","0","FX:1304E767","","47557358","4","0","3","","","","","","","e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855","44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a","284d1be20bfa5cfc9b9a27c3b15f44a85390b76334612e3a02c4c7c34f059625","{""ad"":{""entityId"":""FX:1304E767"",""items"":[{""featureId"":47557358,""featureOptions"":4,""ct"":3,""variant"":0,""metadata"":{},""ctOverride"":null}]},""prm"":{""_id"":""0""}}"
"FeatureConfig.bak.json|49309588|PAYLOAD_50868514_1","FeatureConfig.bak.json","/settings/v3.0/WaaS/FeatureManagement","PAYLOAD_50868514_1","CX_b563a2103a0c4fc896d4757a31a6cc94","FX:13083122","FV_49309588_0","49309588","2","0","3","4","","2024-06-25T00:35:20","9999-12-31T23:59:59","0","3600","44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a","44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a","4f8618381c84d01caf96a2eb7de7fcc0aeb2b70daaea28469245410a12609ada","{""f"":""raf"",""v"":""1.0"",""rdr"":[{""c"":""CDM"",""u"":""FeatureConfiguration""}],""ad"":{""class"":""content"",""collections"":[],""entityId"":""FX:13083122"",""itemPropertyManifest"":{},""items"":[{""entityId"":""FV_49309588_0"",""featureId"":49309588,""featureOptions"":2,""ct"":3,""priority"":4,""properties"":{},""tracking"":{""events"":[{""id"":""impression""},{""id"":""conversion""},{""id"":""opportunity""}],""parameterized"":[]},""triggers"":[],""variant"":0,""metadata"":{},""ctOverride"":null}],""properties"":{},""propertyManifest"":{},""tracking"":{""events"":[{""i..."
"FeatureConfig.bak.json|49577493|PAYLOAD_51956272_1","FeatureConfig.bak.json","/settings/v3.0/WaaS/FeatureManagement","PAYLOAD_51956272_1","CX_0f89e07276fa4942bf8301630e484db6","FX:1318CA30","FV_49577493_0","49577493","2","0","0","4","","2024-06-25T00:35:34","9999-12-31T23:59:59","0","3600","44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a","44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a","976e276fb12ea1278390cb6cd31942ef3206dd9192d0516e7cbbf8fbfae60c28","{""f"":""raf"",""v"":""1.0"",""rdr"":[{""c"":""CDM"",""u"":""FeatureConfiguration""}],""ad"":{""class"":""content"",""collections"":[],""entityId"":""FX:1318CA30"",""itemPropertyManifest"":{},""items"":[{""entityId"":""FV_49577493_0"",""featureId"":49577493,""featureOptions"":2,""ct"":0,""priority"":4,""properties"":{},""tracking"":{""events"":[{""id"":""impression""},{""id"":""conversion""},{""id"":""opportunity""}],""parameterized"":[]},""triggers"":[],""variant"":0,""metadata"":{},""ctOverride"":null}],""properties"":{},""propertyManifest"":{},""tracking"":{""events"":[{""i..."
"FeatureConfig.bak.json|49239926|PAYLOAD_51956462_1","FeatureConfig.bak.json","/settings/v3.0/WaaS/FeatureManagement","PAYLOAD_51956462_1","CX_c060906944284bb0b0796a59f3cba1f7","FX:1318CAEE","FV_49239926_0","49239926","2","0","3","4","","2024-06-25T00:35:15","9999-12-31T23:59:59","0","3600","44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a","44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a","a807b466ee0d6c025d9c21b094d568ec777c520cfb23754430f20f562f578800","{""f"":""raf"",""v"":""1.0"",""rdr"":[{""c"":""CDM"",""u"":""FeatureConfiguration""}],""ad"":{""class"":""content"",""collections"":[],""entityId"":""FX:1318CAEE"",""itemPropertyManifest"":{},""items"":[{""entityId"":""FV_49239926_0"",""featureId"":49239926,""featureOptions"":2,""ct"":3,""priority"":4,""properties"":{},""tracking"":{""events"":[{""id"":""impression""},{""id"":""conversion""},{""id"":""opportunity""}],""parameterized"":[]},""triggers"":[],""variant"":0,""metadata"":{},""ctOverride"":null}],""properties"":{},""propertyManifest"":{},""tracking"":{""events"":[{""i..."
"FeatureConfig.bak.json|49615603|PAYLOAD_51956463_1","FeatureConfig.bak.json","/settings/v3.0/WaaS/FeatureManagement","PAYLOAD_51956463_1","CX_f59cde2faf3143a8a26d3af231244d92","FX:1318CAEF","FV_49615603_0","49615603","2","0","3","4","","2024-06-25T00:35:28","9999-12-31T23:59:59","0","3600","44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a","44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a","5b601d003c400090d1d1c493b480040bb421740f1630c70b412102358b80742a","{""f"":""raf"",""v"":""1.0"",""rdr"":[{""c"":""CDM"",""u"":""FeatureConfiguration""}],""ad"":{""class"":""content"",""collections"":[],""entityId"":""FX:1318CAEF"",""itemPropertyManifest"":{},""items"":[{""entityId"":""FV_49615603_0"",""featureId"":49615603,""featureOptions"":2,""ct"":3,""priority"":4,""properties"":{},""tracking"":{""events"":[{""id"":""impression""},{""id"":""conversion""},{""id"":""opportunity""}],""parameterized"":[]},""triggers"":[],""variant"":0,""metadata"":{},""ctOverride"":null}],""properties"":{},""propertyManifest"":{},""tracking"":{""events"":[{""i..."
"FeatureConfig.bak.json|49204591|PAYLOAD_51956717_1","FeatureConfig.bak.json","/settings/v3.0/WaaS/FeatureManagement","PAYLOAD_51956717_1","CX_f8e760aaa11a4f149f4016fdeab30417","FX:1318CBED","FV_49204591_0","49204591","2","0","3","4","","2024-06-25T00:35:25","9999-12-31T23:59:59","0","3600","44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a","44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a","5aec6460fa44d7bfa1ef1ae2f80aef4010f2edc7afcb95bb2ee59e6957b5fec0","{""f"":""raf"",""v"":""1.0"",""rdr"":[{""c"":""CDM"",""u"":""FeatureConfiguration""}],""ad"":{""class"":""content"",""collections"":[],""entityId"":""FX:1318CBED"",""itemPropertyManifest"":{},""items"":[{""entityId"":""FV_49204591_0"",""featureId"":49204591,""featureOptions"":2,""ct"":3,""priority"":4,""properties"":{},""tracking"":{""events"":[{""id"":""impression""},{""id"":""conversion""},{""id"":""opportunity""}],""parameterized"":[]},""triggers"":[],""variant"":0,""metadata"":{},""ctOverride"":null}],""properties"":{},""propertyManifest"":{},""tracking"":{""events"":[{""i..."
"FeatureConfig.bak.json|50762615|PAYLOAD_51956721_1","FeatureConfig.bak.json","/settings/v3.0/WaaS/FeatureManagement","PAYLOAD_51956721_1","CX_c3079c2da7e047cebeed88abc9193b71","FX:1318CBF1","FV_50762615_0","50762615","2","0","3","4","","2024-06-25T00:35:31","9999-12-31T23:59:59","0","3600","44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a","44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a","2c020eb84992f2a105c29a38b41a393fee375791106d686cb5e2402eb1b79a03","{""f"":""raf"",""v"":""1.0"",""rdr"":[{""c"":""CDM"",""u"":""FeatureConfiguration""}],""ad"":{""class"":""content"",""collections"":[],""entityId"":""FX:1318CBF1"",""itemPropertyManifest"":{},""items"":[{""entityId"":""FV_50762615_0"",""featureId"":50762615,""featureOptions"":2,""ct"":3,""priority"":4,""properties"":{},""tracking"":{""events"":[{""id"":""impression""},{""id"":""conversion""},{""id"":""opportunity""}],""parameterized"":[]},""triggers"":[],""variant"":0,""metadata"":{},""ctOverride"":null}],""properties"":{},""propertyManifest"":{},""tracking"":{""events"":[{""i..."
"FeatureConfig.bak.json|19194309|PAYLOAD_53392223_1","FeatureConfig.bak.json","/settings/v3.0/WaaS/FeatureManagement","PAYLOAD_53392223_1","3","FX:132EB35F","","19194309","4","0","1","","","","","","","e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855","44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a","52ef9969eb054d2e5be4e4144b3f33dca963eeae763f03c7084754287708442e","{""ad"":{""entityId"":""FX:132EB35F"",""items"":[{""featureId"":19194309,""featureOptions"":4,""ct"":1,""variant"":0,""metadata"":{},""ctOverride"":null}]},""prm"":{""_id"":""3""}}"
"FeatureConfig.bak.json|48780814|PAYLOAD_53661598_1","FeatureConfig.bak.json","/settings/v3.0/WaaS/FeatureManagement","PAYLOAD_53661598_1","0","FX:1332CF9E","","48780814","4","0","0","","","","","","","e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855","44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a","e0082797e43b7189d4cf7af77ecd92dd191af0653258be023d4875d486fe95f1","{""ad"":{""entityId"":""FX:1332CF9E"",""items"":[{""featureId"":48780814,""featureOptions"":4,""ct"":0,""variant"":0,""metadata"":{},""ctOverride"":null}]},""prm"":{""_id"":""0""}}"
