"Identity","SourceFile","QueryUrl","SettingName","ValueHash","ValuePreview"
"AppArchiving.json|INFREQUENTLYUSEDAPPINDAYS","AppArchiving.json","/settings/v3.0/WindowsApps/AppArchiving","INFREQUENTLYUSEDAPPINDAYS","c05204d076c56077c0cd2d1debe7ed7147d7f36e28e64ff2f22e21db5cf7aab6","""90"""
"AppArchiving.json|ISAPPARCHIVINGENABLED","AppArchiving.json","/settings/v3.0/WindowsApps/AppArchiving","ISAPPARCHIVINGENABLED","18d10c7d2b4b04aaf04254d1ae5d655a5dc0407cbcdd5a8c3986e985370f36ee","""true"""
"AppArchiving.json|MINIMUMDEVICEUPTIMEINMINUTES","AppArchiving.json","/settings/v3.0/WindowsApps/AppArchiving","MINIMUMDEVICEUPTIMEINMINUTES","06f886d030164644fb79f299f185ca500e1e0c1886bebdc66e098fcf04a5384e","""360"""
"AppArchiving.json|STUBIFICATIONTASKFREQUENCYINDAYS","AppArchiving.json","/settings/v3.0/WindowsApps/AppArchiving","STUBIFICATIONTASKFREQUENCYINDAYS","391552c099c101b131feaf24c5795a6a15bc8ec82015424e0d2b4274a369a0bf","""1"""
"ASAP_CloudPolicy.json|ACOUSTICSTELEMETRYENABLED","ASAP_CloudPolicy.json","/settings/v3.0/analog/ASAP_CloudPolicy","ACOUSTICSTELEMETRYENABLED","391552c099c101b131feaf24c5795a6a15bc8ec82015424e0d2b4274a369a0bf","""1"""
"ASAP_CloudPolicy.json|AGENTACTIVATIONALLOWEDAGENTSCONFIGURATION","ASAP_CloudPolicy.json","/settings/v3.0/analog/ASAP_CloudPolicy","AGENTACTIVATIONALLOWEDAGENTSCONFIGURATION","ce6d7023d50907893584225dcf4e5c40868562d59323445a028c36044b24a007","""Cortana,{A5A7C794-3D59-41DF-915F-19ACDA526FC9},1033,Microsoft.549981C3F5F10_8wekyb3d8bbwe!App,background,true,false;Alexa,{663CABB7-A1DF-41CE-8B77-E66F62351BC6},1033,57540AMZNMobileLLC.AmazonAlexa_22t9g3sebte08!App,background,true,false;Xiaowei Xiaowei,{8899AAD5-174B-4490-933B-06E2C5E8313C},2052,AD2F1837.19285F10D180_v10z8vjag6ke6!App,background,true,false;Contoso,{C0F1842F-D389-44D1-8420-A32A63B35568},1033,Microsoft.SDKSample.MVADLSSampleCS_8wekyb3d8bbwe!App,background,true,false;OK Beeb,{0DC3D0CD-8FC0-40F6-B3AB-A062FE218B70},2057,BBCMobileApps.beeb_wzgfedwv7gft2!App,background,true,false;OK Hololens,{4BB6090A-5AC6-49CB-984A-4289222E2C58},1033,Microsoft.Mixedrealityassistant_8wekyb3d8bbwe!..."
"ASAP_CloudPolicy.json|CLOUDIMPLICITSRTIMEOUTFORNOINTENT","ASAP_CloudPolicy.json","/settings/v3.0/analog/ASAP_CloudPolicy","CLOUDIMPLICITSRTIMEOUTFORNOINTENT","c914fe7118eab04d84e4eb4f8e60c763b9e7e7f801d528e0663a8678a2fc804b","""0;1500;50;1500;51;0;99;0;100;1500;"""
"ASAP_CloudPolicy.json|CLOUDPRIMARYENABLED","ASAP_CloudPolicy.json","/settings/v3.0/analog/ASAP_CloudPolicy","CLOUDPRIMARYENABLED","391552c099c101b131feaf24c5795a6a15bc8ec82015424e0d2b4274a369a0bf","""1"""
"ASAP_CloudPolicy.json|CLOUDSRTIMEOUTFORHOLOBAR","ASAP_CloudPolicy.json","/settings/v3.0/analog/ASAP_CloudPolicy","CLOUDSRTIMEOUTFORHOLOBAR","c914fe7118eab04d84e4eb4f8e60c763b9e7e7f801d528e0663a8678a2fc804b","""0;1500;50;1500;51;0;99;0;100;1500;"""
"ASAP_CloudPolicy.json|CLOUDSRTIMEOUTFORVOICEENABLEDSHELL","ASAP_CloudPolicy.json","/settings/v3.0/analog/ASAP_CloudPolicy","CLOUDSRTIMEOUTFORVOICEENABLEDSHELL","c914fe7118eab04d84e4eb4f8e60c763b9e7e7f801d528e0663a8678a2fc804b","""0;1500;50;1500;51;0;99;0;100;1500;"""
"ASAP_CloudPolicy.json|DEFAULTCLOUDSRTIMEOUT","ASAP_CloudPolicy.json","/settings/v3.0/analog/ASAP_CloudPolicy","DEFAULTCLOUDSRTIMEOUT","f8404774af8692def008446df390e5dbccbe651971c18bc86ec59def36bb1a9e","""0;5000;50;3000;100;1000;"""
"ASAP_CloudPolicy.json|DISABLECLOUDPRIMARYONMETERED","ASAP_CloudPolicy.json","/settings/v3.0/analog/ASAP_CloudPolicy","DISABLECLOUDPRIMARYONMETERED","98089e6d36f78e9766c9ea34d5acb3611f3a92cd81c5eb102095d924ffc7d08b","""0"""
"ASAP_CloudPolicy.json|DISCONNECTEDGOODLOCALCLOUDSRTIMEOUT","ASAP_CloudPolicy.json","/settings/v3.0/analog/ASAP_CloudPolicy","DISCONNECTEDGOODLOCALCLOUDSRTIMEOUT","692a366c819f021d9cb15ef76ffc37ee206c5288ed03c619a8cfa296bf70c3c1","""0;300;100;300;"""
"ASAP_CloudPolicy.json|DISCRETEDETECTIONENDADDITIONALMILLISECONDS","ASAP_CloudPolicy.json","/settings/v3.0/analog/ASAP_CloudPolicy","DISCRETEDETECTIONENDADDITIONALMILLISECONDS","5ac95f46dcda9e6a85f4d281cd691aea7b00846d8f8612d198d396136e9c5140","""500"""
"ASAP_CloudPolicy.json|DISCRETEDETECTIONSTARTADDITIONALMILLISECONDS ","ASAP_CloudPolicy.json","/settings/v3.0/analog/ASAP_CloudPolicy","DISCRETEDETECTIONSTARTADDITIONALMILLISECONDS ","637116a317aaf00163e5ae8e254bd0fa5625603b98429d84f87e5c8c5240e350","""2000"""
"ASAP_CloudPolicy.json|ESMAXPHRASELENGTH","ASAP_CloudPolicy.json","/settings/v3.0/analog/ASAP_CloudPolicy","ESMAXPHRASELENGTH","de040d4cfbeed414c618e8e2c0bf838eee32558b29e786335fda69a74b53cde4","""400000"""
"ASAP_CloudPolicy.json|USELOCALDICTATIONCOMMANDINTENT","ASAP_CloudPolicy.json","/settings/v3.0/analog/ASAP_CloudPolicy","USELOCALDICTATIONCOMMANDINTENT","98089e6d36f78e9766c9ea34d5acb3611f3a92cd81c5eb102095d924ffc7d08b","""0"""
"config.json|ENDPOINT.FCON","config.json","/settings/v3.0/OneSettings/Client","ENDPOINT.FCON","b95dd345e420bf37b48264838715ba95e7d1f79cbd584548c43013e262d5d2ef","{""Partner"":""WaaS"",""Feature"":""FeatureManagement"",""CtacAppId"":""CDM"",""StrictRefreshInterval"":true,""DeviceTicketOption"":2,""MigrateSettings"":true,""KnownEntityId"":""35681102"",""Payload"":{""PayloadHandler"":""FILE"",""Metadata"":{""Dir"":""%ProgramData%\\Microsoft\\Windows\\OneSettings"",""Name"":""FeatureConfig.json"",""NameBackup"":""FeatureConfig.bak.json""}},""Notification"":{""NotificationType"":""WNF"",""Metadata"":{""Data0"":2747009141,""Data1"":43319610}}}"
"config.json|ENDPOINT.MUSE","config.json","/settings/v3.0/OneSettings/Client","ENDPOINT.MUSE","7677f78cbf69c86819ba6c540e1f58cb256802f275daebfefbc5f4ddc74eec41","{""Partner"":""WSD"",""Feature"":""Muse"",""CtacAppId"":""Muse"",""StrictRefreshInterval"":true,""OnDemandOnly"":false,""Payload"":{""PayloadHandler"":""FILE"",""Metadata"":{""Dir"":""%ProgramData%\\Microsoft\\Windows\\OneSettings"",""Name"":""UsoSettings.json""}},""ShouldMigrate"":false,""Notification"":{""NotificationType"":""WNF"",""Metadata"":{""Data0"":2747017333,""Data1"":43319610}},""RefreshIntervals"":{""TargetingChange"":{""Normal"":5,""Costed"":5,""Battery"":5}}}"
"config.json|ENDPOINT.ASAPCP","config.json","/settings/v3.0/OneSettings/Client","ENDPOINT.ASAPCP","d022db6ed6fcf339e68d7c576787aae87416fe58c1d5061ffdf2f0cb0a03ff2e","{""Partner"":""analog"",""Feature"":""ASAP_CloudPolicy"",""DeviceTicketOption"":0,""CtacAppId"":""ASAP_CloudPolicy"",""StrictRefreshInterval"":true,""Payload"":{""PayloadHandler"":""FILE"",""Metadata"":{""Dir"":""%ProgramData%\\Microsoft\\Windows\\OneSettings"",""Name"":""ASAP_CloudPolicy.json""}}}"
